hive	time	value
R17	1574121600000	0
R17	1574035200000	1.156
R17	1573948800000	3.116
R17	1573862400000	6.51
R17	1573776000000	9.426
R17	1573689600000	11.854
R17	1573603200000	14.459
R17	1573516800000	17.558
R17	1573430400000	21.064
R17	1573344000000	26.261
R17	1573257600000	30.913
R17	1573171200000	36.688
R17	1573084800000	41.619
R17	1572998400000	46.481
R17	1572912000000	51.027
R17	1572825600000	55.328
R17	1572739200000	59.278
R17	1572652800000	63.087
R17	1572566400000	65.548
R17	1572480000000	68.008
R17	1572393600000	69.634
R17	1572307200000	70.736
R17	1572220800000	71.887
R17	1572134400000	73.226
R17	1572048000000	75.16
R17	1571961600000	77.134
R17	1571875200000	79.69
R17	1571788800000	82.321
R17	1571702400000	84.661
R17	1571616000000	87.055
R17	1571529600000	88.925
R17	1571443200000	90.041
R17	1571356800000	91.054
R17	1571270400000	91.634
R17	1571184000000	92.058
R17	1571097600000	92.781
R17	1571011200000	92.97
R17	1570924800000	93.052
R17	1570838400000	93.243
R17	1570752000000	93.461
R17	1570665600000	94.025
R17	1570579200000	94.514
R17	1570492800000	94.921
R17	1570406400000	95.29
R17	1570320000000	95.589
R17	1570233600000	95.936
R17	1570147200000	96.286
R17	1570060800000	96.424
R17	1569974400000	96.516
R17	1569888000000	96.506
R17	1569801600000	96.629
R17	1569715200000	96.547
R17	1569628800000	96.156
R17	1569542400000	95.387
R17	1569456000000	94.795
R17	1569369600000	94.29
R17	1569283200000	93.878
R17	1569196800000	93.296
R17	1569110400000	92.775
R17	1569024000000	92.022
R17	1568937600000	91.441
R17	1568851200000	89.923
R17	1568764800000	88.138
R17	1568678400000	86.828
R17	1568592000000	85.681
R17	1568505600000	83.549
R17	1568419200000	82.107
R17	1568332800000	78.401
R17	1568246400000	76.632
R17	1568160000000	75.937
R17	1568073600000	74.142
R17	1567987200000	73.022
R17	1567900800000	73.654
R17	1567814400000	73.771
R17	1567728000000	75.902
R17	1567641600000	76.276
R17	1567555200000	76.391
R17	1567468800000	76.42
R17	1567382400000	76.011
R17	1567296000000	74.519
R17	1567209600000	73.624
R17	1567123200000	72.143
R17	1567036800000	71.088
R17	1566950400000	69.341
R17	1566864000000	69.006
R17	1566777600000	69.359
R17	1566691200000	70.206
R17	1566604800000	70.51
R17	1566518400000	71.324
R17	1566432000000	71.797
R17	1566345600000	73.265
R17	1566259200000	72.394
R17	1566172800000	71.762
R17	1566086400000	71.556
R17	1566000000000	71.651
R17	1565913600000	72.517
R17	1565827200000	73.578
R17	1565740800000	74.017
R17	1565654400000	76.468
R17	1565568000000	77.647
R17	1565481600000	78.091
R17	1565395200000	77.969
R17	1565308800000	77.082
R17	1565222400000	76.876
R17	1565136000000	75.719
R17	1565049600000	74.173
R17	1564963200000	73.541
R17	1564876800000	72.056
R17	1564790400000	71.931
R17	1564704000000	73.286
R17	1564617600000	74.39
R17	1564531200000	75.833
R17	1564444800000	77.71
R17	1564358400000	79.174
R17	1564272000000	81.953
R17	1564185600000	84.2
R17	1564099200000	85.779
R17	1564012800000	86.747
R17	1563926400000	88.066
R17	1563840000000	89.85
R17	1563753600000	91.048
R17	1563667200000	92.108
R17	1563580800000	92.67
R17	1563494400000	93.105
R17	1563408000000	94.037
R17	1563321600000	95.002
R17	1563235200000	95.124
R17	1563148800000	95.546
R17	1563062400000	95.778
R17	1562976000000	96.05
R17	1562889600000	96.073
R17	1562803200000	96.001
R17	1562716800000	95.879
R17	1562630400000	95.908
R17	1562544000000	95.713
R17	1562457600000	95.572
R17	1562371200000	95.403
R17	1562284800000	95.282
R17	1562198400000	95.275
R17	1562112000000	95.129
R17	1562025600000	94.777
R17	1561939200000	94.627
R17	1561852800000	94.283
R17	1561766400000	94.091
R17	1561680000000	94.003
R17	1561593600000	93.836
R17	1561507200000	94.037
R17	1561420800000	94.377
R17	1561334400000	94.653
R17	1561248000000	95.02
R17	1561161600000	94.798
R17	1561075200000	95.192
R17	1560988800000	95.59
R17	1560902400000	95.589
R17	1560816000000	95.277
R17	1560729600000	94.933
R17	1560643200000	94.531
R17	1560556800000	94.673
R17	1560470400000	93.562
R17	1560384000000	92.612
R17	1560297600000	91.357
R17	1560211200000	90.601
R17	1560124800000	90.101
R17	1560038400000	89.294
R17	1559952000000	88.238
R17	1559865600000	87.287
R17	1559779200000	85.246
R17	1559692800000	80.237
R17	1559606400000	76.363
R17	1559520000000	72.233
R17	1559433600000	68.713
R17	1559347200000	65.13
R17	1559260800000	62.593
R17	1559174400000	60.8
R17	1559088000000	63.03
R17	1559001600000	61.933
R17	1558915200000	60.101
R17	1558828800000	57.96
R17	1558742400000	56.911
R17	1558656000000	56.218
R17	1558569600000	57.252
R17	1558483200000	58.906
R17	1558396800000	62.387
R17	1558310400000	65.761
R17	1558224000000	70.012
R17	1558137600000	75.072
R17	1558051200000	79.814
R17	1557964800000	83.009
R17	1557878400000	84.872
R17	1557792000000	87.05
R17	1557705600000	90.266
R17	1557619200000	92.871
R17	1557532800000	93.898
R17	1557446400000	94.657
R17	1557360000000	95.367
R17	1557273600000	96.3
R17	1557187200000	97
R17	1557100800000	97.462
R17	1557014400000	97.541
R17	1556928000000	97.949
R17	1556841600000	98.046
R17	1556755200000	98.197
R17	1556668800000	98.257
R17	1556582400000	98.272
R17	1556496000000	98.302
R17	1556409600000	98.552
R17	1556323200000	98.405
R17	1556236800000	98.064
R17	1556150400000	97.578
